SalesOrderID,CustomerID,OrderDate,city_name,country_name,TotalDue,purchase_method
61285,23791,2004-01-01 00:00:00 UTC,Walla Walla,United States,79.0959,Online
61199,506,2004-01-01 00:00:00 UTC,Casper,United States,77496.5842,Offline
61291,19779,2004-01-01 00:00:00 UTC,Lake Oswego,United States,77.339,Online
61207,578,2004-01-01 00:00:00 UTC,Puyallup,United States,2929.4619,Offline
61185,560,2004-01-01 00:00:00 UTC,Rock Springs,United States,612.2062,Offline
61202,380,2004-01-01 00:00:00 UTC,Cheyenne,United States,5829.5743,Offline
61267,505,2004-01-01 00:00:00 UTC,Kelso,United States,35656.8232,Offline
61283,26273,2004-01-01 00:00:00 UTC,Burien,United States,66.8194,Online
61266,668,2004-01-01 00:00:00 UTC,Kelso,United States,17230.3345,Offline
61289,23694,2004-01-01 00:00:00 UTC,W. Linn,United States,77.3169,Online
61244,110,2004-01-01 00:00:00 UTC,Idaho Falls,United States,72726.6433,Offline
61293,18083,2004-01-01 00:00:00 UTC,Issaquah,United States,99.4169,Online
61241,451,2004-01-01 00:00:00 UTC,Medford,United States,35095.9572,Offline
61213,253,2004-01-01 00:00:00 UTC,Puyallup,United States,10031.4022,Offline
61253,673,2004-01-01 00:00:00 UTC,Bountiful,United States,899.012,Offline
61182,146,2004-01-01 00:00:00 UTC,Seattle,United States,69794.6423,Offline
61183,398,2004-01-01 00:00:00 UTC,Sandpoint,United States,38.7783,Offline
61260,344,2004-01-01 00:00:00 UTC,Everett,United States,859.232,Offline
61187,200,2004-01-01 00:00:00 UTC,Port Orchard,United States,72.9167,Offline
61195,290,2004-01-01 00:00:00 UTC,Bellingham,United States,53428.9044,Offline
61281,28808,2004-01-01 00:00:00 UTC,Lynnwood,United States,27.614,Online
61295,14751,2004-01-01 00:00:00 UTC,Yakima,United States,8.0444,Online
61256,325,2004-01-01 00:00:00 UTC,Bothell,United States,201.0813,Offline
61301,16747,2004-01-01 00:00:00 UTC,Salem,United States,2740.3337,Online
61747,18542,2004-01-09 00:00:00 UTC,Burien,United States,136.9979,Online
61766,14599,2004-01-09 00:00:00 UTC,Lebanon,United States,2602.2529,Online
61752,17682,2004-01-09 00:00:00 UTC,Bellingham,United States,75.6815,Online
61771,14452,2004-01-09 00:00:00 UTC,Puyallup,United States,2626.5408,Online
61757,13654,2004-01-09 00:00:00 UTC,Bellingham,United States,62.9519,Online
61767,12179,2004-01-09 00:00:00 UTC,Lebanon,United States,2580.1419,Online
61768,14657,2004-01-09 00:00:00 UTC,Puyallup,United States,2626.5408,Online
61738,26101,2004-01-09 00:00:00 UTC,Bellingham,United States,27.614,Online
61751,16773,2004-01-09 00:00:00 UTC,Woodburn,United States,15.4479,Online
61769,12108,2004-01-09 00:00:00 UTC,Marysville,United States,2616.5627,Online
61754,14917,2004-01-09 00:00:00 UTC,Puyallup,United States,71.2394,Online
61748,19149,2004-01-09 00:00:00 UTC,Burien,United States,136.9979,Online
61776,26055,2004-01-09 00:00:00 UTC,Yakima,United States,2634.3974,Online
61775,25865,2004-01-09 00:00:00 UTC,Kirkland,United States,1402.0682,Online
62249,26586,2004-01-17 00:00:00 UTC,Bremerton,United States,32.034,Online
62250,23792,2004-01-17 00:00:00 UTC,Burien,United States,36.023,Online
62252,23199,2004-01-17 00:00:00 UTC,Walla Walla,United States,49.9681,Online
62279,25975,2004-01-17 00:00:00 UTC,Bremerton,United States,2659.7792,Online
62271,14419,2004-01-17 00:00:00 UTC,Oregon City,United States,2619.9108,Online
